Voie par ordre alpha des voies;Voie par ordre alpha des noms;Type de voie;Arrt de Lyon (actuel);Arrondissement ou commune d'origine;Validité;Création et modifications;Historique de la voie;Sources;Origine du nom de la voie;Tenant;Aboutissant;Thématiques;Domanialité;Code INSEE;Code FUV;Code FUV actu;Code FANTOIR
10e avenue de la Duchère;Duchère (10e avenue de la);AVENUE;9e;;Historique;Dénommée en 1958 et renommée en 1989.;A fusionné avec la 11e avenue en 1989 : est devenue l'avenue de la Sauvegarde.;Rues de Lyon à travers les siècles de Maurice Vanario (2002) et 3S/589;Nom très ancien, d'un domaine, qui remonte au moins au XIVe siècle.;;;Histoire locale/Moyen Âge;;69389;29014;32108;6903892364D
11e avenue de la Duchère;Duchère (11e avenue de la);AVENUE;9e;;Historique;Dénommée en 1958 et renommée en 1989.;A fusionné avec la 10e avenue en 1989 : est devenue l'avenue de la Sauvegarde.;Rues de Lyon à travers les siècles de Maurice Vanario (2002) et 3S/589;Nom très ancien d'un domaine, qui remonte au moins au XIVe siècle.;;;Histoire locale/Moyen Âge;;69389;29016;32108;6903892365E
11e rue de la Duchère;Duchère (11e rue de la);RUE;9e;;Historique;Dénommée en 1958 et renommée en 1989.;A fusionné avec la 15e rue de la Duchère en 1989 : est devenue la rue du Château-de-la-Duchère.;Rues de Lyon à travers les siècles de Maurice Vanario (2002) et 3S/589;Nom très ancien d'un domaine, qui remonte au moins au XIVe siècle.;;;Histoire locale/Moyen Âge;;69389;29017;32111;6903892378U
12e rue de la Duchère;Duchère (12e rue de la);RUE;9e;;Historique;Dénommée en 1958 et renommée en 1989.;A fusionné avec la 13e rue de la Duchère et la 14e rue de la Duchère en 1989 : est devenue la rue Jean-Fournier.;Rues de Lyon à travers les siècles de Maurice Vanario (2002) et 3S/589;Nom très ancien d'un domaine, qui remonte au moins au XIVe siècle.;;;Histoire locale/Moyen Âge;;69389;29019;32112;6903892379V
13e rue de la Duchère;Duchère (13e rue de la);RUE;9e;;Historique;Dénommée en 1958 et renommée en 1989.;A fusionné avec la 12e rue de la Duchère et la 14e rue de la Duchère en 1989 : est devenue la rue Jean-Fournier.;Rues de Lyon à travers les siècles de Maurice Vanario (2002) et 3S/589;Nom très ancien d'un domaine, qui remonte au moins au XIVe siècle.;;;Histoire locale/Moyen Âge;;69389;29020;32112;6903892396N
14e rue de la Duchère;Duchère (14e rue de la);RUE;9e;;Historique;Dénommée en 1958 et renommée en 1989.;A fusionné avec la 12e rue de la Duchère et la 13e rue de la Duchère en 1989 : est devenue la rue Jean-Fournier.;Rues de Lyon à travers les siècles de Maurice Vanario (2002) et 3S/589;Nom très ancien d'un domaine, qui remonte au moins au XIVe siècle.;;;Histoire locale/Moyen Âge;;69389;29021;32112;6903892381X
15e rue de la Duchère;Duchère (15e rue de la);RUE;9e;;Historique;Dénommée en 1958 et renommée en 1989.;A fusionné avec la 11e rue de la Duchère en 1989 : est devenue la rue du Château-de-la-Duchère.;Rues de Lyon à travers les siècles de Maurice Vanario (2002) et 3S/589;Nom très ancien d'un domaine, qui remonte au moins au XIVe siècle.;;;Histoire locale/Moyen Âge;;69389;29022;32111;6903892382Y
16e rue de la Duchère;Duchère (16e rue de la);RUE;9e;;Historique;Dénommée en 1958 et renommée en 1989.;A changé de dénomination en 1989 : est devenue la rue des Fougères.;Rues de Lyon à travers les siècles de Maurice Vanario (2002) et 3S/589;Nom très ancien d'un domaine, qui remonte au moins au XIVe siècle.;;;Histoire locale/Moyen Âge;;69389;32373;32117;
17e rue de la Duchère;Duchère (17e rue de la);RUE;9e;;Historique;Dénommée en 1958 et renommée en 1992.;A changé de dénomination en 1992 : est devenue la rue des Érables.;Rues de Lyon à travers les siècles de Maurice Vanario (2002) et 3S/589;Nom très ancien d'un domaine, qui remonte au moins au XIVe siècle.;;;Histoire locale/Moyen Âge;;69389;29024;;6903892384A
18e rue de la Duchère;Duchère (18e rue de la);RUE;9e;;Historique;Dénommée en 1958 et renommée en 1989.;A fusionnée avec la 26e rue de la Duchère en 1989 : est devenue la rue Marcel-Cerdan.;Rues de Lyon à travers les siècles de Maurice Vanario (2002) et 3S/589;Nom très ancien d'un domaine, qui remonte au moins au XIVe siècle.;;;Histoire locale/Moyen Âge;;69389;29025;32104;6903892385B
19e rue de la Duchère;Duchère (19e rue de la);RUE;9e;;Actuelle;Dénommée en 1958.;;Rues de Lyon à travers les siècles de Maurice Vanario (2002) et 3S/589;Nom très ancien d'un domaine, qui remonte au moins au XIVe siècle.;;;Histoire locale/Moyen Âge;Métropole;69389;29026;;6903892386C
1ère avenue de la Duchère;Duchère (1ère avenue de la);AVENUE;9e;;Historique;Dénommée en 1958 et renommée en 1989.;"A été dénommée sans suite avenue de Canton en 1989.
A été absorbée en 1990 par le boulevard de la Duchère.";Rues de Lyon à travers les siècles de Maurice Vanario (2002) et 3S/589;Nom très ancien d'un domaine, qui remonte au moins au XIVe siècle.;;;Histoire locale/Moyen Âge;;69389;29012;2099;6903892355U
20e rue de la Duchère;Duchère (20e rue de la);RUE;9e;;Historique;Dénommée en 1958 et renommée en 1989.;A été absorbée en 1989 par la rue de la Piémente.;Rues de Lyon à travers les siècles de Maurice Vanario (2002) et 3S/589;Nom très ancien d'un domaine, qui remonte au moins au XIVe siècle.;;;Histoire locale/Moyen Âge;;69389;29029;29134;6903892387D
21e rue de la Duchère;Duchère (21e rue de la);RUE;9e;;Historique;Dénommée en 1958 et renommée en 1989.;A fusionnée avec la 23e rue de la Duchère en 1989 : est devenue la rue Marius-Donjon.;Rues de Lyon à travers les siècles de Maurice Vanario (2002) et 3S/589;Nom très ancien d'un domaine, qui remonte au moins au XIVe siècle.;;;Histoire locale/Moyen Âge;;69389;29030;32106;6903892388E
22e rue de la Duchère;Duchère (22e rue de la);RUE;9e;;Historique;Dénommée en 1958 et renommée en 1989.;A changé de dénomination en 1989 : est devenue la rue Robert-Wolville.;Rues de Lyon à travers les siècles de Maurice Vanario (2002) et 3S/589;Nom très ancien d'un domaine, qui remonte au moins au XIVe siècle.;;;Histoire locale/Moyen Âge;;69389;29031;32107;6903892389F
23e rue de la Duchère;Duchère (23e rue de la);RUE;9e;;Historique;Dénommée en 1958 et renommée en 1989.;A fusionnée avec la 21e rue de la Duchère en 1989 : est devenue la rue Marius-Donjon.;Rues de Lyon à travers les siècles de Maurice Vanario (2002) et 3S/589;Nom très ancien d'un domaine, qui remonte au moins au XIVe siècle.;;;Histoire locale/Moyen Âge;;69389;29032;32106;6903892390G
24e rue de la Duchère;Duchère (24e rue de la);RUE;9e;;Historique;Dénommée en 1958 et renommée en 1989.;A changé de dénomination en 1989 : est devenue la rue Beer-Sheva.;Rues de Lyon à travers les siècles de Maurice Vanario (2002) et 3S/589;Nom très ancien d'un domaine, qui remonte au moins au XIVe siècle.;;;Histoire locale/Moyen Âge;;69389;30645;32109;6903892391H
25e rue de la Duchère;Duchère (25e rue de la);RUE;9e;;Historique;Dénommée en 1958 et renommée en 1989.;A changé de dénomination en 1989 : est devenue la rue Beer-Sheva.;Rues de Lyon à travers les siècles de Maurice Vanario (2002) et 3S/589;Nom très ancien d'un domaine, qui remonte au moins au XIVe siècle.;;;Histoire locale/Moyen Âge;;69389;30646;32109;6903892392J
26e rue de la Duchère;Duchère (26e rue de la);RUE;9e;;Historique;Dénommée en 1958 et renommée en 1989.;A fusionnée avec la 28e rue de la Duchère en 1989 : est devenue la rue Marcel-Cerdan.;Rues de Lyon à travers les siècles de Maurice Vanario (2002) et 3S/589;Nom très ancien d'un domaine, qui remonte au moins au XIVe siècle.;;;Histoire locale/Moyen Âge;;69389;30647;32104;6903892393K
28e rue de la Duchère;Duchère (28e rue de la);RUE;9e;;Historique;Dénommée en 1958 et renommée en 1989.;A changé de dénomination en 1989 : est devenue la rue du Doyen-Georges-Chapas.;Rues de Lyon à travers les siècles de Maurice Vanario (2002) et 3S/589;Nom très ancien d'un domaine, qui remonte au moins au XIVe siècle.;;;Histoire locale/Moyen Âge;;69389;30648;32103;6903892395M
2e avenue de la Duchère;Duchère (2e avenue de la);AVENUE;9e;;Historique;Dénommée en 1958 et renommée en 1989.;A fusionné avec la 8e avenue de la Duchère et la 9e avenue de la Duchère en 1989 : est devenue le boulevard de la Duchère.;Rues de Lyon à travers les siècles de Maurice Vanario (2002) et 3S/589;Nom très ancien d'un domaine, qui remonte au moins au XIVe siècle.;;;Histoire locale/Moyen Âge;;69389;29027;32099;6903892356V
3e avenue de la Duchère;Duchère (3e avenue de la);AVENUE;9e;;Historique;Dénommée en 1958 et renommée en 1989.;"Un fragment a changé de dénomination en 1989 : est devenu le boulevard de Balmont.
A changé de dénomination en 1989 : est devenue l'avenue de Champagne.";Rues de Lyon à travers les siècles de Maurice Vanario (2002) et 3S/589;Nom très ancien d'un domaine, qui remonte au moins au XIVe siècle.;;;Histoire locale/Moyen Âge;;69389;29038;32098;6903892357W
4e avenue de la Duchère;Duchère (4e avenue de la);AVENUE;9e;;Historique;Dénommée en 1958 et renommée en 1989.;"A été dénommée sans suite en 1989 : avenue Albert-Camus.
A changé de dénomination en 1990 : est devenue l'avenue Andreï-Sakharov.";Rues de Lyon à travers les siècles de Maurice Vanario (2002) et 3S/589;Nom très ancien d'un domaine, qui remonte au moins au XIVe siècle.;;;Histoire locale/Moyen Âge;;69389;29040;2672;6903892358X
