Voie par ordre alpha des voies,Voie par ordre alpha des noms,Type de voie,Arrt de Lyon (actuel),Arrondissement ou commune d'origine,Validité,Création et modifications,Historique de la voie,Sources,Origine du nom de la voie,Tenant,Aboutissant,Thématiques,Domanialité,Code INSEE,Code FUV,Code FUV actu,Code FANTOIR
19e rue de la Duchère,Duchère (19e rue de la),RUE,9e,,Actuelle,Dénommée en 1958.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002) et 3S/589,"Nom très ancien d'un domaine, qui remonte au moins au XIVe siècle.",,,Histoire locale/Moyen Âge,Métropole,69389.0,29026.0,,6903892386C
Aire de sports Alexandra-David-Neel,Alexandra-David-Neel (aire de sports),AIRE,9e,,Actuelle,Dénommée en 2018.,Nouvelle voie.,Délibération du Conseil municipal du 28 mai 2018.,"Née le 24 octobre 1868 à Saint-Mandé, morte le 8 septembre 1969 à Digne-les-Bains. Orientaliste, tibétologue, chanteuse d'opéra et féministe, journaliste et anarchiste, écrivaine et exploratrice, franc-maçonne et bouddhiste française.",Rue Joannes-Carret,Rue des Docks,Femme/Littérature/Religion/Personnalité,,,,,
Allée Achille-Lignon,Achille-Lignon (allée),ALLEE,6e,,Actuelle,Dénommée en 1997.,"A été dénommée quai de la Digue jusqu'en 1864.
A été dénommée quai de la Tête-d'Or jusqu'en 1937.
A été dénommée quai Achille-Lignon jusqu'en 1997.",Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Charles Achille Lignon, né le 22 février 1854 à Saint-Jean de Védas, mort le 9 décembre 1936 à Lyon, est un des créateurs de la foire de Lyon et son premier directeur jusqu'à sa mort.",,Avenue de Grande-Bretagne,Évènements/Foire/Personnalité,,69386.0,33964.0,,
Allée Adolphe-Lafont,Adolphe-Lafont (allée),ALLEE,8e,,Actuelle,Créée en 1993.,Nouvelle voie.,Délibération du Conseil municipal du 5 juillet 1993. Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Né le 22 mars 1870 au 36 rue de la Charité à Lyon, mort à Villeurbanne le 13 juin 1952. Industriel spécialisé dans la production de tenues de travail.",Rue Laënnec,Rue Guillaume-Paradin,Industrie/Personnalité,Privé,69388.0,34596.0,,6903880070P
Allée Ambroise-Croizat,Ambroise-Croizat (allée),ALLEE,2e,,Actuelle,Créée en 2011.,Allée longeant le centre commercial de Confluence.,Délibération du Conseil municipal du 7 novembre 2011.,"Né le 28 janvier 1901 à Notre-Dame-de-Briançon, mort le 11 février 1951 à Suresnes. Ministre du travail de 1945 à 1947, il met en place les systèmes de sécurité sociale et de retraite. Il passe sa jeunesse dans la région lyonnaise, ouvrier métallurgiste, militant syndical et politique. Il passe ensuite au niveau national, secrétaire général CGT métallurgie et député communiste.",Quai Arlès-Dufour,Rue Paul-Montrochet,Politique/Syndicalisme/Personnalité,Métropole,69382.0,36018.0,,
Allée André-Mure,André-Mure (allée),ALLEE,2e,,Actuelle,Dénommée en 2009.,Nouvelle voie.,Délibération du Conseil municipal du 14 septembre 2009.,"Photographe, homme de lettres et journaliste au Progrès. Adjoint à la culture de Lyon de 1977 à 1989, à l’origine du marché de la création, de la Maison de la photo devenue Institut Lumière et de la Maison de la danse. né à Lyon (4e) le 16 août 1922, mort le 27 février 2007 à Villeurbanne.",Rue Casimir-Périer,Quai Antoine-Riboud,Culture/Politique/Personnalité,Métropole,69382.0,35697.0,,6903820259W
Allée Christine-Pascal,Christine-Pascal (allée),ALLEE,7e,,Actuelle,Dénommée en 2020.,Nouvelle voie.,Délibération du Conseil municipal du 28 janvier 2020.,"Actrice, scénariste et réalisatrice, née à Lyon le 29 novembre 1953, morte le 30 août 1996 à Garches.",Avenue Jean-François-Raclet,Rue Françoise-Sagan,Cinéma/Personnalité/Femme,En attente,69387.0,37209.0,,
Allée de Beaulieu-Montribloud,Beaulieu-Montribloud (allée de),ALLEE,9e,,Actuelle,Dénommée en 1968.,,"Attribué par la Société Baticoop, après accord du Maire de Lyon, le 22 juillet 1968. Rues de Lyon à travers les siècles de Maurice Vanario (2002)","Nom attribué par la société Baticoop après accord du maire de Lyon, le 22 juillet 1968.",Rue Montribloud,,,Privé,69389.0,28939.0,,6903890750Z
Allée de Belle-Vue,Belle-Vue (allée de),ALLEE,6e,,Actuelle,Dénommée en 2007.,Allée du parc de la Tête-d'Or.,Délibération du Conseil municipal du 17 septembre 2007.,Inconnue.,,,,Commune,69386.0,33765.0,,6903860809B
Allée de Bretagne,Bretagne (allée de),ALLEE,5e,,Actuelle,Attestée en 2000.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),En hommage à la région.,Rue Pierre-Valdo,,Géographie,Privé,69385.0,32863.0,,6903851200F
