Voie par ordre alpha des voies,Voie par ordre alpha des noms,Type de voie,Arrt de Lyon (actuel),Arrondissement ou commune d'origine,Validité,Création et modifications,Historique de la voie,Sources,Origine du nom de la voie,Tenant,Aboutissant,Thématiques,Domanialité,Code INSEE,Code FUV,Code FUV actu,Code FANTOIR
10e avenue de la Duchère,Duchère (10e avenue de la),AVENUE,9e,,Historique,Dénommée en 1958 et renommée en 1989.,A fusionné avec la 11e avenue en 1989 : est devenue l'avenue de la Sauvegarde.,Rues de Lyon à travers les siècles de Maurice Vanario (2002) et 3S/589,"Nom très ancien, d'un domaine, qui remonte au moins au XIVe siècle.",,,Histoire locale/Moyen Âge,,69389.0,29014.0,32108.0,6903892364D
11e avenue de la Duchère,Duchère (11e avenue de la),AVENUE,9e,,Historique,Dénommée en 1958 et renommée en 1989.,A fusionné avec la 10e avenue en 1989 : est devenue l'avenue de la Sauvegarde.,Rues de Lyon à travers les siècles de Maurice Vanario (2002) et 3S/589,"Nom très ancien d'un domaine, qui remonte au moins au XIVe siècle.",,,Histoire locale/Moyen Âge,,69389.0,29016.0,32108.0,6903892365E
11e rue de la Duchère,Duchère (11e rue de la),RUE,9e,,Historique,Dénommée en 1958 et renommée en 1989.,A fusionné avec la 15e rue de la Duchère en 1989 : est devenue la rue du Château-de-la-Duchère.,Rues de Lyon à travers les siècles de Maurice Vanario (2002) et 3S/589,"Nom très ancien d'un domaine, qui remonte au moins au XIVe siècle.",,,Histoire locale/Moyen Âge,,69389.0,29017.0,32111.0,6903892378U
12e rue de la Duchère,Duchère (12e rue de la),RUE,9e,,Historique,Dénommée en 1958 et renommée en 1989.,A fusionné avec la 13e rue de la Duchère et la 14e rue de la Duchère en 1989 : est devenue la rue Jean-Fournier.,Rues de Lyon à travers les siècles de Maurice Vanario (2002) et 3S/589,"Nom très ancien d'un domaine, qui remonte au moins au XIVe siècle.",,,Histoire locale/Moyen Âge,,69389.0,29019.0,32112.0,6903892379V
13e rue de la Duchère,Duchère (13e rue de la),RUE,9e,,Historique,Dénommée en 1958 et renommée en 1989.,A fusionné avec la 12e rue de la Duchère et la 14e rue de la Duchère en 1989 : est devenue la rue Jean-Fournier.,Rues de Lyon à travers les siècles de Maurice Vanario (2002) et 3S/589,"Nom très ancien d'un domaine, qui remonte au moins au XIVe siècle.",,,Histoire locale/Moyen Âge,,69389.0,29020.0,32112.0,6903892396N
14e rue de la Duchère,Duchère (14e rue de la),RUE,9e,,Historique,Dénommée en 1958 et renommée en 1989.,A fusionné avec la 12e rue de la Duchère et la 13e rue de la Duchère en 1989 : est devenue la rue Jean-Fournier.,Rues de Lyon à travers les siècles de Maurice Vanario (2002) et 3S/589,"Nom très ancien d'un domaine, qui remonte au moins au XIVe siècle.",,,Histoire locale/Moyen Âge,,69389.0,29021.0,32112.0,6903892381X
15e rue de la Duchère,Duchère (15e rue de la),RUE,9e,,Historique,Dénommée en 1958 et renommée en 1989.,A fusionné avec la 11e rue de la Duchère en 1989 : est devenue la rue du Château-de-la-Duchère.,Rues de Lyon à travers les siècles de Maurice Vanario (2002) et 3S/589,"Nom très ancien d'un domaine, qui remonte au moins au XIVe siècle.",,,Histoire locale/Moyen Âge,,69389.0,29022.0,32111.0,6903892382Y
16e rue de la Duchère,Duchère (16e rue de la),RUE,9e,,Historique,Dénommée en 1958 et renommée en 1989.,A changé de dénomination en 1989 : est devenue la rue des Fougères.,Rues de Lyon à travers les siècles de Maurice Vanario (2002) et 3S/589,"Nom très ancien d'un domaine, qui remonte au moins au XIVe siècle.",,,Histoire locale/Moyen Âge,,69389.0,32373.0,32117.0,
17e rue de la Duchère,Duchère (17e rue de la),RUE,9e,,Historique,Dénommée en 1958 et renommée en 1992.,A changé de dénomination en 1992 : est devenue la rue des Érables.,Rues de Lyon à travers les siècles de Maurice Vanario (2002) et 3S/589,"Nom très ancien d'un domaine, qui remonte au moins au XIVe siècle.",,,Histoire locale/Moyen Âge,,69389.0,29024.0,,6903892384A
18e rue de la Duchère,Duchère (18e rue de la),RUE,9e,,Historique,Dénommée en 1958 et renommée en 1989.,A fusionnée avec la 26e rue de la Duchère en 1989 : est devenue la rue Marcel-Cerdan.,Rues de Lyon à travers les siècles de Maurice Vanario (2002) et 3S/589,"Nom très ancien d'un domaine, qui remonte au moins au XIVe siècle.",,,Histoire locale/Moyen Âge,,69389.0,29025.0,32104.0,6903892385B
