Voie par ordre alpha des voies,Voie par ordre alpha des noms,Type de voie,Arrt de Lyon (actuel),Arrondissement ou commune d'origine,Validité,Création et modifications,Historique de la voie,Sources,Origine du nom de la voie,Tenant,Aboutissant,Thématiques,Domanialité,Code INSEE,Code FUV,Code FUV actu,Code FANTOIR
Allée Blache,Blache (allée),ALLEE,4e,,Supprimée,Dénommée en 1922 et supprimée en 1987.,Nouvelle voie.,"Délibération du Conseil municipal du 12 juin 1922. 
Rues de Lyon à travers les siècles de Maurice Vanario (2002)","Inventeur du métier à la ""petite tire"" avec Galantier (1627).",Rue Pernon,Allée Ringuet,Textile/Personnalité,,69384.0,27977.0,,6903840925L
Allée Couverte,Couverte (allée),ALLEE,1er,,Supprimée,Attestée en 1975.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),Couverte par l'arche d'une maison.,Rue du Sergent-Blandan,Place Gabriel-Rambaud,Architecture,,,,,
Allée de la Conservation,Conservation (allée de la),ALLEE,5e,,Supprimée,Attestée en 1745.,Allait de la rue Saint-Jean au cul-de-sac de la rue des Trois-Maries.,"Rues de Lyon à travers les siècles de Maurice Vanario (2002) et fiches préparatoires de Vanario.
Almanach de 1745.",A pris son nom de ce qu'elle conduisait au lieu où se tenait le tribunal de la Juridiction de la Conservation des privilèges des foires de Lyon.,,,Histoire locale/Foires/Justice,,,,,
Allée des Images,Images (allée des),ALLEE,1er ,,Supprimée,Attestée en 1782 et supprimée en 1858.,A été supprimée lors de la création de la rue de l'Impératrice.,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Reg. 129 St-Nizier, n° 503.","Passage où étaient installés des marchands de gravures, imprimeurs et lithographes.",Place de la Fromagerie,,Commerce/Imprimerie,,,,,
Allée des Morts,Morts (allée des),ALLEE,2e,,Supprimée,Attestée en 1895.,A été également dénommé passage Saint-Nizier ou cour Saint-Nizier.,Rues de Lyon à travers les siècles de Maurice Vanario (2002),Inconnue.,,,,,,,,
Allée des Mûriers,Mûriers (allée des),ALLEE,3e,La Guillotière,Supprimée,Attestée en 1848.,Voie supprimée.,Rues de Lyon à travers les siècles de Maurice Vanario (2002),Inconnue.,,,,,,,,
Allée des Pavillons,Pavillons (allée des),ALLEE,6e,,Supprimée,Attesté de 1912 à 1962.,,"Fiches préparatoires de Vanario.
Liste des voies privées de 1962.","Il s'agit probablement de Pavillons dans le sens de maisons.

",Cours Vitton,,Urbanisme,,,,,
Allée du Jeu-de-Paume,Jeu-de-Paume (allée du) ,ALLEE,5e,,Supprimée,,Située vers le quai de Bondy.,,En référence au jeu de paume de Saint-Paul.,,,Histoire locale,,,,,
Allée Galantier,Galantier (allée),ALLEE,4e,,Supprimée,Créée en 1922 et supprimée avant 1987.,Nouvelle voie.,Délibération du Conseil municipal du 19 novembre 1922. Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Inventeur, en 1687, avec Blache, du métier à la petite tire, dit aussi au bouton.",Rue Pernom,Allée Ringuet,Sceinces et techniques/Textile/Métier à tisser/Soie/Personnalité,,69384.0,27978.0,,6903842975P
Allée Ringuet,Ringuet (allée),ALLEE,4e,,Supprimée,Dénommée de 1922 à 1967.,"Nouvelle voie.
A été supprimée vers 1967.",Délibération du Conseil municipal du 19 juin 1922. Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Jean-Pierre Ringuet, dessinateur et fabricant de soieries, né en 1728 à Lyon, décédé entre 1769 et 1771.",Place Picard,Rue Pillement,Textile/Soie/Dessin/Personnalité,,69384.0,27979.0,,6903846045B
Ancien chemin des Charpennes,Charpennes (ancien chemin des),CHEMIN,3e / 6e,La Guillotière,Supprimée,Attesté en 1830.,Un fragment a changé de dénomination en 1863 : est devenu la rue Desargues.,Rues de Lyon à travers les siècles de Maurice Vanario (2002),"le nom de Charpennes dériverait de ce que, primitivement, les terrains de cette section étaient couverts de bois de charmes ou charmilles "". En effet, en Dauphiné, le mot charpet, dérivé de l'ancien français charpe, lui-même dérivé du latin carpinus, désignait cet arbre ; on trouve fréquemment le nom de Charpenay dans les départements voisins du Rhône.",,,Histoire locale,,,,,
